title,csv_url,excel_url,source_page
"Saudi Arabia | Data
https://data.worldbank.org/country/saudi-arabia",https://api.worldbank.org/v2/en/country/SAU?downloadformat=csv,https://api.worldbank.org/v2/en/country/SAU?downloadformat=excel,https://data.worldbank.org/country/saudi-arabia
"GDP (current US$) - Saudi Arabia
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SA",https://api.worldbank.org/v2/en/indicator/NY.GDP.MKTP.CD?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/NY.GDP.MKTP.CD?downloadformat=excel,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SA
"GNI per capita, Atlas method (current US$) - Saudi Arabia
https://data.worldbank.org/indicator/NY.GNP.PCAP.CD?locations=SA",https://api.worldbank.org/v2/en/indicator/NY.GNP.PCAP.CD?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/NY.GNP.PCAP.CD?downloadformat=excel,https://data.worldbank.org/indicator/NY.GNP.PCAP.CD?locations=SA
"GDP per capita (current US$) - Saudi Arabia
https://data.worldbank.org/indicator/NY.GDP.PCAP.CD?locations=SA",https://api.worldbank.org/v2/en/indicator/NY.GDP.PCAP.CD?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/NY.GDP.PCAP.CD?downloadformat=excel,https://data.worldbank.org/indicator/NY.GDP.PCAP.CD?locations=SA
"Military expenditure (current USD) - Saudi Arabia
https://data.worldbank.org/indicator/MS.MIL.XPND.CD?locations=SA",https://api.worldbank.org/v2/en/indicator/MS.MIL.XPND.CD?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/MS.MIL.XPND.CD?downloadformat=excel,https://data.worldbank.org/indicator/MS.MIL.XPND.CD?locations=SA
"Literacy rate, adult female (% of females ages 15 and above) - Saudi Arabia
https://data.worldbank.org/indicator/SE.ADT.LITR.FE.ZS?locations=SA",https://api.worldbank.org/v2/en/indicator/SE.ADT.LITR.FE.ZS?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/SE.ADT.LITR.FE.ZS?downloadformat=excel,https://data.worldbank.org/indicator/SE.ADT.LITR.FE.ZS?locations=SA
"Nurses and midwives (per 1,000 people) - Saudi Arabia
https://data.worldbank.org/indicator/SH.MED.NUMW.P3?locations=SA",https://api.worldbank.org/v2/en/indicator/SH.MED.NUMW.P3?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/SH.MED.NUMW.P3?downloadformat=excel,https://data.worldbank.org/indicator/SH.MED.NUMW.P3?locations=SA
"Population, total - Saudi Arabia
https://data.worldbank.org/indicator/SP.POP.TOTL?locations=SA",https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?downloadformat=excel,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=SA
"Trade (% of GDP) - Saudi Arabia
https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS?locations=SA",https://api.worldbank.org/v2/en/indicator/NE.TRD.GNFS.ZS?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/NE.TRD.GNFS.ZS?downloadformat=excel,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS?locations=SA
"Proportion of seats held by women in national parliaments (%) - Saudi Arabia
https://data.worldbank.org/indicator/SG.GEN.PARL.ZS?locations=SA",https://api.worldbank.org/v2/en/indicator/SG.GEN.PARL.ZS?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/SG.GEN.PARL.ZS?downloadformat=excel,https://data.worldbank.org/indicator/SG.GEN.PARL.ZS?locations=SA
"GDP, PPP (current international $) - Saudi Arabia
https://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD?locations=SA",https://api.worldbank.org/v2/en/indicator/NY.GDP.MKTP.PP.CD?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/NY.GDP.MKTP.PP.CD?downloadformat=excel,https://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD?locations=SA
"Services, value added (% of GDP) - Saudi Arabia
https://data.worldbank.org/indicator/NV.SRV.TOTL.ZS?locations=SA",https://api.worldbank.org/v2/en/indicator/NV.SRV.TOTL.ZS?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/NV.SRV.TOTL.ZS?downloadformat=excel,https://data.worldbank.org/indicator/NV.SRV.TOTL.ZS?locations=SA
"Saudi Arabia - Labor force, total
https://data.worldbank.org/indicator/SL.TLF.TOTL.IN?locations=SA",https://api.worldbank.org/v2/en/indicator/SL.TLF.TOTL.IN?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/SL.TLF.TOTL.IN?downloadformat=excel,https://data.worldbank.org/indicator/SL.TLF.TOTL.IN?locations=SA
"Exports of goods and services (current US$) - Saudi Arabia
https://data.worldbank.org/indicator/NE.EXP.GNFS.CD?locations=SA",https://api.worldbank.org/v2/en/indicator/NE.EXP.GNFS.CD?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/NE.EXP.GNFS.CD?downloadformat=excel,https://data.worldbank.org/indicator/NE.EXP.GNFS.CD?locations=SA
"Access to electricity (% of population) - Saudi Arabia
https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS?locations=SA",https://api.worldbank.org/v2/en/indicator/EG.ELC.ACCS.ZS?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/EG.ELC.ACCS.ZS?downloadformat=excel,https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS?locations=SA
"Subsidies and other transfers (% of expense) - Saudi Arabia
https://data.worldbank.org/indicator/GC.XPN.TRFT.ZS?locations=SA",https://api.worldbank.org/v2/en/indicator/GC.XPN.TRFT.ZS?downloadformat=csv,https://api.worldbank.org/v2/en/indicator/GC.XPN.TRFT.ZS?downloadformat=excel,https://data.worldbank.org/indicator/GC.XPN.TRFT.ZS?locations=SA
