title,pdf_url,excel_url,source,year
أحدث النشرات,https://www.stats.gov.sa/documents/20117/2435281/Air+Transport+Statistics+Publication+2025-AR.pdf/47bfad5f-baf6-6221-f1ba-a79da7d6e8b2?t=1779016462417,https://www.stats.gov.sa/documents/20117/2435281/Air+Transport+Statistics+table+2025-AR+%281%29.xlsx/1cf96359-3334-24df-c19c-9cfbd7d1d92b?t=1779016632059,Saudi Statistics,Unknown
ITS-Q4+2025-AR+%281%29.pdf,https://www.stats.gov.sa/documents/20117/2435267/ITS-Q4+2025-AR+%281%29.pdf/2ed2a00f-c659-53d3-bc89-c017c46b2178?t=1774859794770,,Saudi Statistics,2025
ITS_Q4_2025+%282%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/ITS_Q4_2025+%282%29.xlsx/a33e43e5-29c8-4196-c7d7-f3043261d96e?t=1774859830122,Saudi Statistics,2025
ITS-Q3+2025-AR.pdf,https://www.stats.gov.sa/documents/20117/2435267/ITS-Q3+2025-AR.pdf/5f5d79d3-d620-0d38-4032-a341aca2d1ac?t=1767159787367,,Saudi Statistics,2025
ITS_Published_+Q3+2025+%281%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/ITS_Published_+Q3+2025+%281%29.xlsx/0e8bc6a1-a222-d76f-ae32-539f5cf022a4?t=1767159810447,Saudi Statistics,2025
Internatioanl+trade+in+services+statististics+Bulletin+2024+AR.pdf,https://www.stats.gov.sa/documents/20117/2435267/Internatioanl+trade+in+services+statististics+Bulletin+2024+AR.pdf/1461037e-01eb-4b51-6c71-95978d3e72d4?t=1761805361659,,Saudi Statistics,2024
ITS_Published_+Annual_+2024.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/ITS_Published_+Annual_+2024.xlsx/07cb90d4-bc59-8d39-cb9c-837ece841214?t=1761805381513,Saudi Statistics,2024
ITS_Published_+Quarterly+2025.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/ITS_Published_+Quarterly+2025.xlsx/9f79e048-19bc-0252-04bc-9cb92493c7ee?t=1761824001197,Saudi Statistics,2025
Maritime+Transport+Statistics+Publication+2024+-+AR.pdf,https://www.stats.gov.sa/documents/20117/2435281/Maritime+Transport+Statistics+Publication+2024+-+AR.pdf/9d802f78-9903-6d6c-7368-7116282ef91e?t=1758090338991,,Saudi Statistics,2024
Maritime_Transports_Statistics_Publication_2024_AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435245/Maritime_Transports_Statistics_Publication_2024_AR.xlsx/c1d1251d-964f-2ba7-ce2a-a6360f28627e?t=1759666512347,Saudi Statistics,2024
